address,bank,body,from_or_to,amount
AD-BOBMSG,Bank of Baroda,"BOB Alert: ₹7,342.27 received via UPI to Bank of Baroda A/c **2477 from HP Fuel (hpfuel@idfcbank) on 09-06-25. Ref 117983591913.",HP Fuel,7342.27
JD-IDFCFB-S,IDFC FIRST Bank,"IDFC Alert: Rs.3,792.07 received via UPI to IDFC FIRST Bank A/c **5047 from Ravi Teja (raviteja@kotak) on 04-Jun-2025. Ref 572212793897.",Ravi Teja,3792.07
MD-PNBSMS-S,Punjab National Bank,PNB Alert: INR245.79 sent via UPI from Punjab National Bank A/c XX3785 to JioMart (jiomart@upi) on 06/08/2025. Ref 500563242517.,JioMart,245.79
VM-HDFCBK,HDFC Bank,"HDFC Alert: Rs.3,393.96 received via UPI to HDFC Bank A/c **2744 from Manoj P (manojp@okhdfcbank) on 11/08/2025. Ref 407807993702.",Manoj P,3393.96
VM-HDFCBK-I,HDFC Bank,HDFC Alert: INR374.68 received via UPI to HDFC Bank A/c xxxx9649 from IRCTC (irctc@axl) on 25-07-25. Ref 258053118288.,IRCTC,374.68
AD-YESBNK-S,YES Bank,YES Alert: Rs.167.58 received via UPI to YES Bank A/c **3623 from Rajesh Kumar (rajeshkuma@ibl) on 08-Jun-2025. Ref 781063477428.,Rajesh Kumar,167.58
BZ-HDFCBK,HDFC Bank,HDFC Alert: ₹78.35 received via UPI to HDFC Bank A/c **6914 from Google Play Store (googleplay@axl) on 20/08/2025. Ref 688152811803.,Google Play Store,78.35
AD-KOTAKB-I,Kotak Mahindra Bank,KOTAK Alert: ₹379.21 sent via UPI from Kotak Mahindra Bank A/c XX5387 to Neha Malhotra (nehamalhot@ybl) on 18/06/2025. Ref 908683323919.,Neha Malhotra,379.21
VK-SBIINB,State Bank of India,"SBI Alert: Rs.3,9,458.46 received via UPI to State Bank of India A/c xxxx3786 from BPCL (bpcl@ibl) on 04/06/2025. Ref 604348874810.",BPCL,39458.46
VK-KOTAKB-S,Kotak Mahindra Bank,"KOTAK Alert: Rs.2,415.12 sent via UPI from Kotak Mahindra Bank A/c XX5720 to Ravi Teja (raviteja@axl) on 17-Aug-2025. Ref 335571353898.",Ravi Teja,2415.12
VK-ICICIB-I,ICICI Bank,"ICICI Alert: INR1,8,422.38 received via UPI to ICICI Bank A/c XX7684 from JioMart (jiomart@okaxis) on 04/06/2025. Ref 090602493102.",JioMart,18422.38
VM-ICICIB-S,ICICI Bank,"ICICI Alert: INR3,5,687.36 sent via UPI from ICICI Bank A/c **2841 to Nisha S (nishas@upi) on 10-07-25. Ref 232987189619.",Nisha S,35687.36
BP-KOTAKUPI,Kotak Mahindra Bank,"KOTAK Alert: Rs.2,200.77 sent via UPI from Kotak Mahindra Bank A/c **4542 to Paytm (paytm@axl) on 03/06/2025. Ref 568591737215.",Paytm,2200.77
AX-AXISBK,Axis Bank,"AXIS Alert: INR6,729.63 sent via UPI from Axis Bank A/c **6888 to Karthik M (karthikm@okaxis) on 27/07/2025. Ref 761093905044.",Karthik M,6729.63
BP-YESBNK-I,YES Bank,"YES Alert: INR4,0,676.29 received via UPI to YES Bank A/c XX3968 from Big Bazaar (bigbazaar@oksbi) on 08-Aug-2025. Ref 362762308009.",Big Bazaar,40676.29
VK-KOTAKB,Kotak Mahindra Bank,KOTAK Alert: INR426.55 sent via UPI from Kotak Mahindra Bank A/c XX8176 to Sanjay Singh (sanjaysing@upi) on 21-08-25. Ref 698022580002.,Sanjay Singh,426.55
VK-AXISUPI-S,Axis Bank,AXIS Alert: INR264.77 received via UPI to Axis Bank A/c xxxx9156 from VI Prepaid (viprepaid@axl) on 02-08-25. Ref 987182377958.,VI Prepaid,264.77
BZ-BOBMSG,Bank of Baroda,BOB Alert: ₹290.20 sent via UPI from Bank of Baroda A/c xxxx3587 to Amit Sharma (amitsharma@oksbi) on 30-Jul-2025. Ref 871771367707.,Amit Sharma,290.2
AD-INDUSB-I,IndusInd Bank,"INDUSIND Alert: ₹3,597.95 sent via UPI from IndusInd Bank A/c xxxx2399 to Amazon (amazon@ybl) on 10/06/2025. Ref 801831573981.",Amazon,3597.95
VK-PNBUPI-S,Punjab National Bank,PNB Alert: Rs.360.19 received via UPI to Punjab National Bank A/c XX8341 from Lavanya K (lavanyak@upi) on 05-Jun-2025. Ref 930152103569.,Lavanya K,360.19
AD-KOTAKB-I,Kotak Mahindra Bank,KOTAK Alert: Rs.472.94 received via UPI to Kotak Mahindra Bank A/c **4718 from Tata Sky (tatasky@ybl) on 15-Jun-2025. Ref 350761252822.,Tata Sky,472.94
AD-ICICIB-S,ICICI Bank,ICICI Alert: Rs.575.69 sent via UPI from ICICI Bank A/c **7116 to Sanjay Singh (sanjaysing@oksbi) on 18/07/2025. Ref 889479029045.,Sanjay Singh,575.69
VM-HDFCBK-I,HDFC Bank,HDFC Alert: Rs.444.65 received via UPI to HDFC Bank A/c XX5789 from Google Play Store (googleplay@ybl) on 17-Jul-2025. Ref 171712245261.,Google Play Store,444.65
VK-YESUPI-S,YES Bank,"YES Alert: INR2,465.22 sent via UPI from YES Bank A/c xxxx4321 to Divya R (divyar@axl) on 03-Jun-2025. Ref 377787213247.",Divya R,2465.22
VK-AXISUPI,Axis Bank,"AXIS Alert: INR1,696.77 sent via UPI from Axis Bank A/c XX2295 to Uber (uber@axl) on 01-06-25. Ref 162077691944.",Uber,1696.77
VK-INDUSUPI,IndusInd Bank,"INDUSIND Alert: Rs.3,892.95 sent via UPI from IndusInd Bank A/c **5816 to Rajesh Kumar (rajeshkuma@okhdfcbank) on 01/06/2025. Ref 086983779599.",Rajesh Kumar,3892.95
VK-AXISUPI-I,Axis Bank,"AXIS Alert: INR4,899.87 sent via UPI from Axis Bank A/c **7000 to DMart (dmart@okhdfcbank) on 03/06/2025. Ref 463500811784.",DMart,4899.87
VM-INDUSB-S,IndusInd Bank,INDUSIND Alert: INR291.71 received via UPI to IndusInd Bank A/c xxxx4619 from Anil Gupta (anilgupta@idfcbank) on 17-Jul-2025. Ref 806645267479.,Anil Gupta,291.71
VM-HDFCBK-I,HDFC Bank,"HDFC Alert: ₹2,7,479.12 sent via UPI from HDFC Bank A/c **6154 to Paytm (paytm@idfcbank) on 14/06/2025. Ref 502532093617.",Paytm,27479.12
AX-AXISBK,Axis Bank,AXIS Alert: Rs.247.28 sent via UPI from Axis Bank A/c xxxx6427 to Suresh R (sureshr@sbi) on 12-06-25. Ref 061957860533.,Suresh R,247.28
BZ-BOBMSG-S,Bank of Baroda,BOB Alert: INR258.44 received via UPI to Bank of Baroda A/c xxxx2378 from Amazon (amazon@ibl) on 15-07-25. Ref 729797209558.,Amazon,258.44
AD-ICICIB-S,ICICI Bank,ICICI Alert: ₹477.75 sent via UPI from ICICI Bank A/c **4653 to Sunita J (sunitaj@axl) on 06-07-25. Ref 221928893599.,Sunita J,477.75
AD-SBIUPI-I,State Bank of India,SBI Alert: ₹233.29 sent via UPI from State Bank of India A/c XX1586 to Big Bazaar (bigbazaar@oksbi) on 26-Jul-2025. Ref 373705080316.,Big Bazaar,233.29
BP-YESBNK,YES Bank,YES Alert: ₹60.61 received via UPI to YES Bank A/c **7299 from Ravi Teja (raviteja@kotak) on 20-Jun-2025. Ref 437317663940.,Ravi Teja,60.61
MD-PNBSMS-I,Punjab National Bank,"PNB Alert: INR2,5,213.63 sent via UPI from Punjab National Bank A/c xxxx1770 to VI Prepaid (viprepaid@ybl) on 28/08/2025. Ref 053961449942.",VI Prepaid,25213.63
MD-PNBSMS,Punjab National Bank,PNB Alert: Rs.463.63 sent via UPI from Punjab National Bank A/c xxxx8293 to Kiran Rao (kiranrao@ibl) on 16/07/2025. Ref 906217358551.,Kiran Rao,463.63
VK-ICICIB-I,ICICI Bank,ICICI Alert: ₹387.09 sent via UPI from ICICI Bank A/c XX4527 to JioMart (jiomart@upi) on 10-Jul-2025. Ref 592411506282.,JioMart,387.09
BP-YESBNK-S,YES Bank,"YES Alert: ₹4,941.39 received via UPI to YES Bank A/c **4201 from Manoj P (manojp@ibl) on 18-07-25. Ref 482442656696.",Manoj P,4941.39
AD-BOBMSG-I,Bank of Baroda,BOB Alert: Rs.216.46 sent via UPI from Bank of Baroda A/c XX7815 to PhonePe (phonepe@okhdfcbank) on 12-08-25. Ref 649017821635.,PhonePe,216.46
AD-PNBSMS-I,Punjab National Bank,"PNB Alert: ₹3,2,747.30 received via UPI to Punjab National Bank A/c xxxx4757 from Neha Malhotra (nehamalhot@oksbi) on 24-Aug-2025. Ref 605977745466.",Neha Malhotra,32747.3
JD-IDFCFB-I,IDFC FIRST Bank,IDFC Alert: INR482.56 received via UPI to IDFC FIRST Bank A/c xxxx6660 from Google Play Store (googleplay@okaxis) on 10/07/2025. Ref 938355581680.,Google Play Store,482.56
VK-AXISUPI-S,Axis Bank,AXIS Alert: ₹380.66 sent via UPI from Axis Bank A/c **9193 to Arun K (arunk@upi) on 12-Jul-2025. Ref 703957531272.,Arun K,380.66
MD-PNBSMS-I,Punjab National Bank,"PNB Alert: Rs.1,3,833.76 sent via UPI from Punjab National Bank A/c **7071 to VI Prepaid (viprepaid@okhdfcbank) on 14-08-25. Ref 164406412648.",VI Prepaid,13833.76
BP-YESBNK-S,YES Bank,"YES Alert: INR4,020.68 received via UPI to YES Bank A/c **1099 from Anil Gupta (anilgupta@ybl) on 16-08-25. Ref 093285269795.",Anil Gupta,4020.68
AD-IDFCFB-S,IDFC FIRST Bank,IDFC Alert: Rs.388.31 received via UPI to IDFC FIRST Bank A/c xxxx3485 from Ola (ola@upi) on 01/07/2025. Ref 372319517151.,Ola,388.31
VK-PNBUPI-S,Punjab National Bank,PNB Alert: ₹295.65 sent via UPI from Punjab National Bank A/c XX2002 to Amit Sharma (amitsharma@upi) on 20-Jun-2025. Ref 350448705925.,Amit Sharma,295.65
AD-SBIUPI-I,State Bank of India,"SBI Alert: INR4,302.67 received via UPI to State Bank of India A/c xxxx3353 from PhonePe (phonepe@upi) on 29/07/2025. Ref 347449954678.",PhonePe,4302.67
VK-SBIINB-I,State Bank of India,"SBI Alert: INR3,325.68 sent via UPI from State Bank of India A/c xxxx6022 to Suresh R (sureshr@okhdfcbank) on 14-06-25. Ref 929127438594.",Suresh R,3325.68
AD-KOTAKB-S,Kotak Mahindra Bank,"KOTAK Alert: Rs.3,9,893.81 sent via UPI from Kotak Mahindra Bank A/c **9277 to Myntra (myntra@idfcbank) on 29-07-25. Ref 507704320441.",Myntra,39893.81
VM-IDFCUPI-I,IDFC FIRST Bank,"IDFC Alert: Rs.4,858.36 received via UPI to IDFC FIRST Bank A/c **7574 from Karthik M (karthikm@ybl) on 14-08-25. Ref 463470830296.",Karthik M,4858.36
BP-YESBNK-S,YES Bank,YES Alert: Rs.187.48 received via UPI to YES Bank A/c XX3921 from DMart (dmart@axl) on 30-Jul-2025. Ref 590202067065.,DMart,187.48
VM-IDFCUPI-I,IDFC FIRST Bank,"IDFC Alert: INR2,4,422.00 sent via UPI from IDFC FIRST Bank A/c **1392 to Sanjay Singh (sanjaysing@kotak) on 16/06/2025. Ref 919064271302.",Sanjay Singh,24422
VM-ICICIB-S,ICICI Bank,ICICI Alert: ₹283.44 sent via UPI from ICICI Bank A/c xxxx2709 to Croma (croma@idfcbank) on 19-08-25. Ref 012785439171.,Croma,283.44
MD-PNBSMS,Punjab National Bank,"PNB Alert: Rs.3,8,114.07 received via UPI to Punjab National Bank A/c XX5381 from Anil Gupta (anilgupta@ibl) on 26/07/2025. Ref 544122029890.",Anil Gupta,38114.07
VK-SBIINB,State Bank of India,SBI Alert: ₹477.58 sent via UPI from State Bank of India A/c xxxx3644 to Amazon (amazon@ybl) on 29-Jul-2025. Ref 294233683915.,Amazon,477.58
VK-AXISUPI-S,Axis Bank,AXIS Alert: INR392.08 received via UPI to Axis Bank A/c xxxx1455 from Meena S (meenas@okaxis) on 10/07/2025. Ref 348444888713.,Meena S,392.08
VK-YESUPI,YES Bank,"YES Alert: Rs.4,707.62 sent via UPI from YES Bank A/c **9275 to Ola (ola@axl) on 02-07-25. Ref 705496029079.",Ola,4707.62
AD-BOBMSG,Bank of Baroda,BOB Alert: Rs.282.29 received via UPI to Bank of Baroda A/c xxxx1571 from Ravi Teja (raviteja@okhdfcbank) on 24-Jun-2025. Ref 068047624495.,Ravi Teja,282.29
VM-IDFCUPI-I,IDFC FIRST Bank,"IDFC Alert: INR1,2,888.24 received via UPI to IDFC FIRST Bank A/c xxxx5466 from Ola (ola@okhdfcbank) on 07-Jun-2025. Ref 447879848668.",Ola,12888.24
AD-BOBMSG-I,Bank of Baroda,"BOB Alert: Rs.7,303.38 received via UPI to Bank of Baroda A/c xxxx3772 from Ravi Teja (raviteja@okhdfcbank) on 21-Jul-2025. Ref 420870589773.",Ravi Teja,7303.38
BZ-BOBMSG-S,Bank of Baroda,BOB Alert: Rs.349.62 received via UPI to Bank of Baroda A/c **9959 from IRCTC (irctc@okaxis) on 28/08/2025. Ref 350529855539.,IRCTC,349.62
AD-YESBNK,YES Bank,"YES Alert: INR1,9,451.48 sent via UPI from YES Bank A/c XX7462 to Amit Sharma (amitsharma@ibl) on 14-06-25. Ref 847240786519.",Amit Sharma,19451.48
AX-AXISBK-I,Axis Bank,"AXIS Alert: Rs.4,8,601.46 received via UPI to Axis Bank A/c **4944 from Amazon (amazon@ybl) on 23-Jun-2025. Ref 311177646591.",Amazon,48601.46
BZ-BOBMSG-I,Bank of Baroda,BOB Alert: ₹384.44 received via UPI to Bank of Baroda A/c xxxx3689 from Arun K (arunk@oksbi) on 13-Aug-2025. Ref 964773598513.,Arun K,384.44
AX-AXISBK-S,Axis Bank,AXIS Alert: ₹288.17 received via UPI to Axis Bank A/c **6415 from VI Prepaid (viprepaid@ybl) on 06-Jun-2025. Ref 285926106588.,VI Prepaid,288.17
VK-SBIINB-I,State Bank of India,"SBI Alert: Rs.4,8,163.25 sent via UPI from State Bank of India A/c **3479 to Karthik M (karthikm@oksbi) on 10-07-25. Ref 077889453397.",Karthik M,48163.25
BP-YESBNK,YES Bank,"YES Alert: Rs.1,2,829.32 sent via UPI from YES Bank A/c xxxx4994 to Big Bazaar (bigbazaar@okhdfcbank) on 12-07-25. Ref 990500499625.",Big Bazaar,12829.32
VM-ICICIB,ICICI Bank,"ICICI Alert: Rs.3,524.01 sent via UPI from ICICI Bank A/c xxxx2982 to Rajesh Kumar (rajeshkuma@oksbi) on 24-Jul-2025. Ref 297510186688.",Rajesh Kumar,3524.01
VK-BOBUPI-I,Bank of Baroda,"BOB Alert: INR1,972.24 received via UPI to Bank of Baroda A/c xxxx1118 from Zomato (zomato@ibl) on 18-Aug-2025. Ref 283371582737.",Zomato,1972.24
VK-PNBUPI-S,Punjab National Bank,"PNB Alert: INR1,6,316.25 sent via UPI from Punjab National Bank A/c **3741 to Suresh R (sureshr@kotak) on 22/06/2025. Ref 493371467682.",Suresh R,16316.25
BP-KOTAKUPI,Kotak Mahindra Bank,"KOTAK Alert: INR1,900.20 received via UPI to Kotak Mahindra Bank A/c **8282 from JioMart (jiomart@sbi) on 22/07/2025. Ref 772316417095.",JioMart,1900.2
VK-INDUSUPI-S,IndusInd Bank,INDUSIND Alert: ₹99.24 sent via UPI from IndusInd Bank A/c XX3598 to Ravi Teja (raviteja@oksbi) on 26-08-25. Ref 752082054428.,Ravi Teja,99.24
AD-IDFCFB-S,IDFC FIRST Bank,"IDFC Alert: Rs.1,957.05 received via UPI to IDFC FIRST Bank A/c XX5720 from VI Prepaid (viprepaid@upi) on 16-Jun-2025. Ref 843800824812.",VI Prepaid,1957.05
JD-IDFCFB-S,IDFC FIRST Bank,"IDFC Alert: INR1,904.22 received via UPI to IDFC FIRST Bank A/c **8708 from Ravi Teja (raviteja@ibl) on 31-07-25. Ref 941214866312.",Ravi Teja,1904.22
AD-HDFCBK-I,HDFC Bank,HDFC Alert: ₹170.48 sent via UPI from HDFC Bank A/c **5977 to Paytm (paytm@kotak) on 11/06/2025. Ref 787528428318.,Paytm,170.48
VK-BOBUPI,Bank of Baroda,"BOB Alert: Rs.4,708.52 received via UPI to Bank of Baroda A/c xxxx9644 from Deepak Nair (deepaknair@okaxis) on 29/06/2025. Ref 902329664720.",Deepak Nair,4708.52
TM-SBIINB-S,State Bank of India,SBI Alert: INR507.75 received via UPI to State Bank of India A/c xxxx5170 from DMart (dmart@sbi) on 17/07/2025. Ref 010481895960.,DMart,507.75
AD-YESBNK-I,YES Bank,"YES Alert: ₹2,839.72 received via UPI to YES Bank A/c xxxx7999 from Arun K (arunk@sbi) on 14-Jul-2025. Ref 776264924715.",Arun K,2839.72
JD-IDFCFB-S,IDFC FIRST Bank,IDFC Alert: ₹448.00 sent via UPI from IDFC FIRST Bank A/c xxxx9186 to Tata Sky (tatasky@sbi) on 26/06/2025. Ref 231634449615.,Tata Sky,448
VM-IDFCUPI,IDFC FIRST Bank,"IDFC Alert: INR4,878.06 received via UPI to IDFC FIRST Bank A/c **1949 from Nisha S (nishas@upi) on 16/08/2025. Ref 671802919481.",Nisha S,4878.06
AD-SBIUPI-I,State Bank of India,SBI Alert: Rs.495.70 received via UPI to State Bank of India A/c XX4551 from Tata Sky (tatasky@okaxis) on 12/08/2025. Ref 630989932473.,Tata Sky,495.7
AD-IDFCFB,IDFC FIRST Bank,"IDFC Alert: ₹3,769.51 received via UPI to IDFC FIRST Bank A/c xxxx4571 from Karthik M (karthikm@kotak) on 18-Jun-2025. Ref 032853818880.",Karthik M,3769.51
AX-AXISBK-I,Axis Bank,AXIS Alert: ₹211.47 received via UPI to Axis Bank A/c XX4816 from Airtel Prepaid (airtelprep@idfcbank) on 13-Jul-2025. Ref 393747549986.,Airtel Prepaid,211.47
AD-HDFCBK-I,HDFC Bank,"HDFC Alert: Rs.4,2,922.20 sent via UPI from HDFC Bank A/c xxxx3109 to Lavanya K (lavanyak@ibl) on 22-Jun-2025. Ref 521957439390.",Lavanya K,42922.2
VK-INDUSUPI-I,IndusInd Bank,"INDUSIND Alert: ₹2,998.33 received via UPI to IndusInd Bank A/c xxxx8316 from Uber (uber@ibl) on 09-08-25. Ref 450255127461.",Uber,2998.33
VK-KOTAKB-S,Kotak Mahindra Bank,"KOTAK Alert: ₹2,7,242.92 received via UPI to Kotak Mahindra Bank A/c xxxx7366 from Sunita J (sunitaj@axl) on 27-Jun-2025. Ref 707578466712.",Sunita J,27242.92
VK-ICICIB-I,ICICI Bank,ICICI Alert: INR383.69 received via UPI to ICICI Bank A/c **8012 from IRCTC (irctc@okaxis) on 13/07/2025. Ref 157854985074.,IRCTC,383.69
VK-INDUSUPI,IndusInd Bank,INDUSIND Alert: Rs.105.80 sent via UPI from IndusInd Bank A/c XX7013 to Pooja Patel (poojapatel@okhdfcbank) on 01-Jun-2025. Ref 070855975365.,Pooja Patel,105.8
VK-AXISUPI,Axis Bank,AXIS Alert: ₹50.83 received via UPI to Axis Bank A/c xxxx3124 from BPCL (bpcl@axl) on 14/06/2025. Ref 384116488624.,BPCL,50.83
VM-INDUSB-S,IndusInd Bank,"INDUSIND Alert: Rs.1,265.45 sent via UPI from IndusInd Bank A/c xxxx5484 to Sunita J (sunitaj@upi) on 29-06-25. Ref 453715079375.",Sunita J,1265.45
AD-SBIUPI-S,State Bank of India,"SBI Alert: INR3,0,706.71 received via UPI to State Bank of India A/c xxxx8526 from Paytm (paytm@oksbi) on 06-08-25. Ref 246664533112.",Paytm,30706.71
AD-BOBMSG,Bank of Baroda,"BOB Alert: Rs.4,2,093.37 received via UPI to Bank of Baroda A/c **6766 from Sanjay Singh (sanjaysing@okhdfcbank) on 06/08/2025. Ref 595875755026.",Sanjay Singh,42093.37
AD-AXISBK-S,Axis Bank,"AXIS Alert: Rs.4,7,371.25 sent via UPI from Axis Bank A/c XX8707 to Uber (uber@kotak) on 22/07/2025. Ref 589127022742.",Uber,47371.25
JD-IDFCFB-I,IDFC FIRST Bank,IDFC Alert: ₹292.75 received via UPI to IDFC FIRST Bank A/c XX3933 from Divya R (divyar@oksbi) on 25/07/2025. Ref 766839980826.,Divya R,292.75
AD-ICICIB-I,ICICI Bank,"ICICI Alert: Rs.3,8,281.56 received via UPI to ICICI Bank A/c XX4868 from JioMart (jiomart@sbi) on 22/08/2025. Ref 715544280884.",JioMart,38281.56
VK-YESUPI-I,YES Bank,"YES Alert: INR7,071.13 received via UPI to YES Bank A/c xxxx1380 from Arun K (arunk@ibl) on 07-06-25. Ref 262668090801.",Arun K,7071.13
BZ-HDFCBK-I,HDFC Bank,"HDFC Alert: INR1,897.52 received via UPI to HDFC Bank A/c XX7850 from Paytm (paytm@oksbi) on 28-Jun-2025. Ref 372611436196.",Paytm,1897.52
MD-PNBSMS-I,Punjab National Bank,"PNB Alert: Rs.1,999.87 received via UPI to Punjab National Bank A/c XX1770 from Arun K (arunk@axl) on 05-Jun-2025. Ref 468903039620.",Arun K,1999.87
BZ-BOBMSG-S,Bank of Baroda,"BOB Alert: INR2,701.90 sent via UPI from Bank of Baroda A/c XX1854 to Ola (ola@oksbi) on 13-07-25. Ref 592092726027.",Ola,2701.9
AX-AXISBK-S,Axis Bank,AXIS Alert: Rs.135.48 received via UPI to Axis Bank A/c XX4391 from Lavanya K (lavanyak@upi) on 04-Aug-2025. Ref 931866583627.,Lavanya K,135.48
BP-KOTAKUPI-S,Kotak Mahindra Bank,"KOTAK Alert: ₹1,037.76 sent via UPI from Kotak Mahindra Bank A/c **3651 to Tata Sky (tatasky@kotak) on 27-Jun-2025. Ref 769633309641.",Tata Sky,1037.76
VM-ICICIB-S,ICICI Bank,ICICI Alert: INR343.04 sent via UPI from ICICI Bank A/c **9945 to Arun K (arunk@ybl) on 22-Aug-2025. Ref 971405934981.,Arun K,343.04
VK-BOBUPI-I,Bank of Baroda,BOB Alert: ₹283.68 received via UPI to Bank of Baroda A/c XX9793 from PhonePe (phonepe@ibl) on 13-Jun-2025. Ref 421460948991.,PhonePe,283.68
VM-HDFCBK-I,HDFC Bank,"HDFC Alert: INR2,120.61 sent via UPI from HDFC Bank A/c **3629 to Meena S (meenas@kotak) on 04-Jul-2025. Ref 640098199048.",Meena S,2120.61
MD-PNBSMS-S,Punjab National Bank,PNB Alert: Rs.276.20 received via UPI to Punjab National Bank A/c xxxx7776 from Flipkart (flipkart@idfcbank) on 25/07/2025. Ref 303854127422.,Flipkart,276.2
BZ-HDFCBK-S,HDFC Bank,HDFC Alert: ₹472.41 received via UPI to HDFC Bank A/c xxxx6100 from Arun K (arunk@okaxis) on 04/06/2025. Ref 311167411596.,Arun K,472.41
VM-IDFCUPI-S,IDFC FIRST Bank,"IDFC Alert: Rs.1,001.99 received via UPI to IDFC FIRST Bank A/c xxxx5292 from IRCTC (irctc@axl) on 17/07/2025. Ref 740312789254.",IRCTC,1001.99
AD-KOTAKB,Kotak Mahindra Bank,"KOTAK Alert: Rs.2,892.54 received via UPI to Kotak Mahindra Bank A/c **5712 from Meena S (meenas@sbi) on 25/06/2025. Ref 492839272368.",Meena S,2892.54
AD-SBIUPI-S,State Bank of India,SBI Alert: INR368.79 sent via UPI from State Bank of India A/c XX9770 to Airtel Prepaid (airtelprep@okaxis) on 03/06/2025. Ref 416785683492.,Airtel Prepaid,368.79
AD-IDFCFB-I,IDFC FIRST Bank,"IDFC Alert: Rs.1,840.85 sent via UPI from IDFC FIRST Bank A/c **3586 to Arun K (arunk@sbi) on 18-08-25. Ref 395746482398.",Arun K,1840.85
BP-KOTAKUPI-S,Kotak Mahindra Bank,"KOTAK Alert: INR9,144.97 received via UPI to Kotak Mahindra Bank A/c **1676 from Zomato (zomato@sbi) on 26-06-25. Ref 401804029697.",Zomato,9144.97
VM-HDFCBK,HDFC Bank,HDFC Alert: Rs.273.07 received via UPI to HDFC Bank A/c XX3996 from Priya Verma (priyaverma@ibl) on 18-06-25. Ref 020302966662.,Priya Verma,273.07
AD-YESBNK-I,YES Bank,"YES Alert: ₹2,893.41 received via UPI to YES Bank A/c xxxx6440 from HP Fuel (hpfuel@ibl) on 11-07-25. Ref 919952688001.",HP Fuel,2893.41
TM-SBIINB,State Bank of India,SBI Alert: Rs.387.09 received via UPI to State Bank of India A/c **3994 from Nisha S (nishas@okhdfcbank) on 22/07/2025. Ref 438557526670.,Nisha S,387.09
JD-IDFCFB,IDFC FIRST Bank,"IDFC Alert: Rs.4,028.58 sent via UPI from IDFC FIRST Bank A/c **2858 to DMart (dmart@oksbi) on 21/08/2025. Ref 639376544351.",DMart,4028.58
AD-IDFCFB-S,IDFC FIRST Bank,"IDFC Alert: INR2,2,729.93 sent via UPI from IDFC FIRST Bank A/c **5541 to Neha Malhotra (nehamalhot@kotak) on 16/06/2025. Ref 552073514033.",Neha Malhotra,22729.93
BP-YESBNK,YES Bank,YES Alert: ₹98.73 sent via UPI from YES Bank A/c **5371 to VI Prepaid (viprepaid@upi) on 01-Jun-2025. Ref 962756525878.,VI Prepaid,98.73
BZ-BOBMSG-S,Bank of Baroda,BOB Alert: INR197.52 sent via UPI from Bank of Baroda A/c xxxx4248 to Divya R (divyar@idfcbank) on 07/07/2025. Ref 578266914195.,Divya R,197.52
AD-YESBNK,YES Bank,"YES Alert: Rs.1,088.58 received via UPI to YES Bank A/c XX6842 from Swiggy (swiggy@ibl) on 22/07/2025. Ref 983026417920.",Swiggy,1088.58
AD-AXISBK-S,Axis Bank,AXIS Alert: INR986.88 sent via UPI from Axis Bank A/c xxxx4584 to Pooja Patel (poojapatel@ibl) on 25-Aug-2025. Ref 840404564472.,Pooja Patel,986.88
VK-ICICIB-I,ICICI Bank,"ICICI Alert: Rs.3,860.22 sent via UPI from ICICI Bank A/c XX2745 to Flipkart (flipkart@okhdfcbank) on 27-07-25. Ref 034996093860.",Flipkart,3860.22
VK-KOTAKB-I,Kotak Mahindra Bank,KOTAK Alert: INR821.01 sent via UPI from Kotak Mahindra Bank A/c XX3523 to Arun K (arunk@ibl) on 25-Jun-2025. Ref 639661979250.,Arun K,821.01
AX-AXISBK-S,Axis Bank,AXIS Alert: Rs.431.67 received via UPI to Axis Bank A/c xxxx8152 from BPCL (bpcl@sbi) on 01-08-25. Ref 097733073970.,BPCL,431.67
VK-BOBUPI-I,Bank of Baroda,BOB Alert: ₹137.29 sent via UPI from Bank of Baroda A/c **9822 to Ravi Teja (raviteja@okhdfcbank) on 28-Jul-2025. Ref 468741410262.,Ravi Teja,137.29
VK-SBIINB-S,State Bank of India,SBI Alert: ₹54.90 sent via UPI from State Bank of India A/c **3703 to Tata Sky (tatasky@oksbi) on 05-Jun-2025. Ref 349650957190.,Tata Sky,54.9
VM-INDUSB,IndusInd Bank,INDUSIND Alert: Rs.200.85 sent via UPI from IndusInd Bank A/c **7278 to Sanjay Singh (sanjaysing@okaxis) on 11/08/2025. Ref 252743742899.,Sanjay Singh,200.85
VK-PNBUPI-S,Punjab National Bank,"PNB Alert: Rs.3,6,379.11 received via UPI to Punjab National Bank A/c **8531 from PhonePe (phonepe@sbi) on 12-Aug-2025. Ref 248239290804.",PhonePe,36379.11
VM-HDFCBK-I,HDFC Bank,HDFC Alert: ₹366.88 sent via UPI from HDFC Bank A/c XX1718 to Vikas T (vikast@axl) on 25-08-25. Ref 732675579610.,Vikas T,366.88
